结果,目标概率%,100万次模拟%,偏差百分点
北京,3.128258602711157,3.1151999999999997,-0.013058602711157191
上海,3.128258602711157,3.1156,-0.012658602711157138
天津,2.2940563086548487,2.3181,0.024043691345151247
重庆,3.128258602711157,3.1321000000000003,0.003841397288843057
石家庄,1.7726798748696557,1.7862,0.013520125130344132
太原,1.7726798748696557,1.7887,0.016020125130344204
呼和浩特,1.7726798748696557,1.7697,-0.002979874869655716
沈阳,2.2940563086548487,2.2835,-0.010556308654848662
长春,1.7726798748696557,1.7865,0.013820125130344085
哈尔滨,1.7726798748696557,1.7624999999999997,-0.010179874869655978
南京,2.2940563086548487,2.3005,0.0064436913451513395
杭州,3.128258602711157,3.1223,-0.0059586027111570294
合肥,2.2940563086548487,2.2897,-0.004356308654848706
福州,2.2940563086548487,2.283,-0.011056308654848815
南昌,1.7726798748696557,1.7852,0.012520125130344173
济南,2.2940563086548487,2.2692,-0.02485630865484874
郑州,2.2940563086548487,2.2633,-0.03075630865484874
武汉,3.128258602711157,3.1435,0.015241397288842662
长沙,2.2940563086548487,2.2904999999999998,-0.003556308654848947
广州,3.128258602711157,3.1262,-0.0020586027111572924
南宁,1.7726798748696557,1.7603,-0.01237987486965575
海口,1.7726798748696557,1.7795999999999998,0.006920125130344124
成都,3.128258602711157,3.128,-0.00025860271115688005
贵阳,1.7726798748696557,1.7631000000000001,-0.009579874869655725
昆明,2.2940563086548487,2.3148999999999997,0.02084369134515117
拉萨,1.3555787278415015,1.3691,0.013521272158498535
西安,2.2940563086548487,2.2742,-0.019856308654848942
兰州,1.7726798748696557,1.7333999999999998,-0.03927987486965594
西宁,1.3555787278415015,1.3495,-0.006078727841501465
银川,1.3555787278415015,1.3655,0.009921272158498577
乌鲁木齐,1.7726798748696557,1.7843999999999998,0.011720125130344067
深圳,3.128258602711157,3.1389,0.010641397288842919
苏州,2.2940563086548487,2.3039,0.00984369134515127
宁波,2.2940563086548487,2.3079,0.013843691345151107
青岛,2.2940563086548487,2.2941,4.369134515118389e-05
厦门,2.2940563086548487,2.3224,0.028343691345151384
大连,1.7726798748696557,1.7770000000000001,0.004320125130344299
无锡,1.7726798748696557,1.7564,-0.016279874869655833
佛山,1.7726798748696557,1.7729000000000001,0.00022012513034436187
东莞,1.7726798748696557,1.7739,0.0012201251303443211
珠海,1.7726798748696557,1.7712999999999999,-0.0013798748696558505
三亚,1.3555787278415015,1.3542,-0.0013787278415014481
洛阳,1.3555787278415015,1.381,0.025421272158498466
开封,1.3555787278415015,1.3561999999999999,0.0006212721584984704
大理,1.3555787278415015,1.3447,-0.010878727841501408
桂林,1.3555787278415015,1.3501,-0.005478727841501385
香港,2.2940563086548487,2.287,-0.007056308654848631
澳门,1.3555787278415015,1.3546,-0.000978727841501395
