结果,目标概率%,100万次模拟%,偏差百分点
美国,2.8197381671701915,2.8314,0.011661832829808552
加拿大,2.8197381671701915,2.8538,0.03406183282980875
墨西哥,2.014098690835851,2.0263,0.012201309164149021
巴西,2.014098690835851,2.002,-0.012098690835850995
阿根廷,1.5105740181268883,1.496,-0.014574018126888369
智利,1.5105740181268883,1.4878,-0.022774018126888243
哥伦比亚,1.5105740181268883,1.5174,0.006825981873111696
秘鲁,1.5105740181268883,1.5270000000000001,0.016425981873111756
英国,2.8197381671701915,2.823,0.003261832829808825
法国,2.8197381671701915,2.8053000000000003,-0.014438167170191182
德国,2.8197381671701915,2.8372,0.0174618328298088
意大利,2.8197381671701915,2.8122000000000003,-0.007538167170191221
西班牙,2.8197381671701915,2.7928,-0.026938167170191193
葡萄牙,2.014098690835851,2.016,0.0019013091641491286
荷兰,2.014098690835851,2.0141,1.3091641489632044e-06
比利时,2.014098690835851,1.9863,-0.027798690835851084
瑞士,2.014098690835851,2.0282999999999998,0.01420130916414894
奥地利,2.014098690835851,1.9979,-0.016198690835850932
瑞典,2.014098690835851,2.0233,0.009201309164149143
挪威,2.014098690835851,1.9779000000000002,-0.03619869083585081
丹麦,2.014098690835851,2.0035000000000003,-0.010598690835850882
芬兰,2.014098690835851,2.0074,-0.0066986908358507985
爱尔兰,2.014098690835851,2.0086,-0.005498690835850986
波兰,1.5105740181268883,1.5171000000000001,0.006525981873111743
捷克,1.5105740181268883,1.5146,0.004025981873111671
希腊,2.014098690835851,2.0209,0.006801309164149172
土耳其,2.014098690835851,2.027,0.012901309164149027
日本,2.8197381671701915,2.8039,-0.015838167170191195
韩国,2.8197381671701915,2.8061,-0.013638167170191423
新加坡,2.8197381671701915,2.8618,0.04206183282980877
马来西亚,2.014098690835851,1.9949999999999999,-0.019098690835851057
泰国,2.014098690835851,2.0152,0.0011013091641490225
越南,1.5105740181268883,1.4926,-0.0179740181268883
印度尼西亚,1.5105740181268883,1.4955,-0.015074018126888349
菲律宾,1.5105740181268883,1.5126,0.0020259818731117527
印度,2.014098690835851,2.0155,0.0014013091641489756
巴基斯坦,1.5105740181268883,1.5185,0.007925981873111755
阿联酋,2.014098690835851,2.0201000000000002,0.006001309164149066
沙特阿拉伯,1.5105740181268883,1.4942,-0.01637401812688826
澳大利亚,2.8197381671701915,2.849,0.029261832829808807
新西兰,2.014098690835851,2.0205,0.006401309164149119
南非,1.5105740181268883,1.5315,0.020925981873111746
埃及,1.5105740181268883,1.5115999999999998,0.00102598187311162
摩洛哥,1.5105740181268883,1.5155,0.004925981873111704
俄罗斯,2.014098690835851,2.0048,-0.00929869083585097
哈萨克斯坦,1.5105740181268883,1.5079,-0.002674018126888264
以色列,1.5105740181268883,1.5223,0.011725981873111739
卡塔尔,1.5105740181268883,1.5086,-0.001974018126888258
匈牙利,1.5105740181268883,1.514,0.003425981873111765
冰岛,1.5105740181268883,1.5282,0.01762598187311174
